culinarias,nome,endereço,telefone,avaliação
Asiática,Càm O’n,Downtown - Avenida das Américas - 500 Bloco 9 - Loja 113 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 96966-8448 ,4.8
,Elena,Rua Pacheco Leão - 758 - Jardim Botânico - Rio de Janeiro - RJ,(21) 97186-8923,3.9
,Spicy Fish,R. Maria Quitéria - 99 - Ipanema - Rio de Janeiro - RJ,(21) 99787-8313,4.1
Australiana,Outback Botafogo,R. Gen. Severiano - 97 - Botafogo - Rio de Janeiro - RJ,(21) 3900-0006,4.5
Arabe,Bar do Elias,R. do Catete - 357 - Flamengo - Rio de Janeiro - RJ,(21) 2285-7472,4.5
,Mega Árabe,Shopping Barra Square - Avenida das Américas - 3555 - Av. Marechal Henrique Lott - 333 - Bloco - Loja 214 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99514-9393,4.8
,Arabs,Av. das Américas - 7607 - LJ 126 Tel. 2421-5880 / 2487-9653 - Tijuca - Rio de Janeiro - RJ,(21) 2421-5880,4.0
Açaí,Porto do Sabor,Av. Olegário Maciel - 231 - Loja B - Barra da Tijuca - Rio de Janeiro - RJ,(21) 3085-0122,4.2
Alemã,Casa do Alemão,Av. das Américas - 1699 - Loja C - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2497-2629,4.6
,Bar da Lagoa,Av. Epitácio Pessoa - 1674 - Lagoa - Rio de Janeiro - RJ,(21) 2523-1135,4.4
Brasileira,Pescados na Brasa,R. Vítor Meireles - 92 - Riachuelo,(21) 99359-4753,4.6
,Rudä,Rua Garcia d'Avila - 118 - Ipanema - Rio de Janeiro - RJ,(21) 98385-7051,4.8
,Sofia,R. Barão de Iguatemi - 257 - Praca da Bandeira - Rio de Janeiro - RJ,(21) 96973-9781,4.9
Barbecue,Fogo de Chão,Av. Reporter Nestor Moreira - s/n - Botafogo - Rio de Janeiro - RJ,(21) 2542-1545,4.7
,Mocellin,Av. Armando Lombardi - 1010 - Barra da Tijuca - Rio de Janeiro - RJ,(21) 2492-1878,4.8
Bolos,Bolo de Bolo,Av. Jaime Poggi - 80 - Loja N - Jacarepaguá - Rio de Janeiro - RJ,(21) 99936-0880,4.7
,Clark Patisserie ,Av. Armando Lombardi - 633 - Loja C - Barra da Tijuca - Rio de Janeiro - RJ,(21) 99835-3280,4.0
Boteco,Bar do Adão,R. Prudente de Morais - 237 - loja a - Ipanema - Rio de Janeiro - RJ,(21) 3841-8731,4.4
Chinesa,Cantón,R. Rodolfo Dantas - 26 - Copacabana - Rio de Janeiro - RJ,(21) 3594-0002,4.6
